Post code,Post office name,Branch,Post office level,Status,Pickup Branch,Commune EN,Branch Code,Category,Search Text
BANA001,Chamnaom,BAN - Banteay Meanchey,Agent,In effect,BANA001,Chamnaom,BAN,Agent,BANA001 | Chamnaom | Chamnaom | 0716111197 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA002,Paoy Paet,BAN - Banteay Meanchey,Agent,In effect,BANA002,Paoy Paet,BAN,Agent,BANA002 | Paoy Paet | Paoy Paet | 068664966 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA003,Preah Punlea,BAN - Banteay Meanchey,Agent,In effect,BANA003,Preah Punlea,BAN,Agent,BANA003 | Preah Punlea | Preah Punlea | 0884844416 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA004,Phsar Kandal,BAN - Banteay Meanchey,Agent,In effect,BANA004,Phsar Kandal,BAN,Agent,BANA004 | Phsar Kandal | Phsar Kandal | 0882344488 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA005,Ou Ruessei,BAN - Banteay Meanchey,Agent,In effect,BANA005,Ou Ruessei,BAN,Agent,BANA005 | Ou Ruessei | Ou Ruessei | 0977842760 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA006,Roluos,BAN - Banteay Meanchey,Agent,In effect,BANA006,Roluos,BAN,Agent,BANA006 | Roluos | Roluos | 067253334 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA007,Phnum Touch,BAN - Banteay Meanchey,Agent,In effect,BANA007,Phnum Touch,BAN,Agent,BANA007 | Phnum Touch | Phnum Touch | 0973991168 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA008,Paoy Char,BAN - Banteay Meanchey,Agent,In effect,BANA008,Paoy Char,BAN,Agent,BANA008 | Paoy Char | Paoy Char | 0889574697 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA009,Chub Vari,BAN - Banteay Meanchey,Agent,In effect,BANA009,Chub Vari,BAN,Agent,BANA009 | Chub Vari | Chub Vari | 0717333545 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
BANA010,Banteay Chhmar,BAN - Banteay Meanchey,Agent,In effect,BANA010,Banteay Chhmar,BAN,Agent,BANA010 | Banteay Chhmar | Banteay Chhmar | 0976111877 | BAN | Banteay Meanchey | Banteay Meanchey | Agent
