Pickup Branch,Commune EN,Commune Khmer,Phone,Branch Code,Branch EN,Branch Khmer,Type,Status,Search Text
BANA001,Chamnaom,Chamnaom,0716111197,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA001 | Chamnaom | Chamnaom | 0716111197 | BAN | Banteay Meanchey | Banteay Meanchey
BANA002,Paoy Paet,Paoy Paet,068664966,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA002 | Paoy Paet | Paoy Paet | 068664966 | BAN | Banteay Meanchey | Banteay Meanchey
BANA003,Preah Punlea,Preah Punlea,0884844416,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA003 | Preah Punlea | Preah Punlea | 0884844416 | BAN | Banteay Meanchey | Banteay Meanchey
BANA004,Sen Sreynak,Sen Sreynak,0882344488,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA004 | Sen Sreynak | Sen Sreynak | 0882344488 | BAN | Banteay Meanchey | Banteay Meanchey
BANA005,Ou Ruessei,Ou Ruessei,0977842760,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA005 | Ou Ruessei | Ou Ruessei | 0977842760 | BAN | Banteay Meanchey | Banteay Meanchey
BANA006,Roluos,Roluos,067253334,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA006 | Roluos | Roluos | 067253334 | BAN | Banteay Meanchey | Banteay Meanchey
BANA007,Seng - Sovannary,Seng - Sovannary,0973991168,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA007 | Seng - Sovannary | Seng - Sovannary | 0973991168 | BAN | Banteay Meanchey | Banteay Meanchey
BANA008,Paoy Char,Paoy Char,,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA008 | Paoy Char | Paoy Char | BAN | Banteay Meanchey | Banteay Meanchey
BANA009,Chub Vari,Chub Vari,0717333545,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA009 | Chub Vari | Chub Vari | 0717333545 | BAN | Banteay Meanchey | Banteay Meanchey
BANA010,Banteay Chhmar,Banteay Chhmar,0976111877,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA010 | Banteay Chhmar | Banteay Chhmar | 0976111877 | BAN | Banteay Meanchey | Banteay Meanchey
